sample_name	treatment	timepoint
SRR6039706	Ustilago maydis	0.5 day
SRR6039707	Ustilago maydis	0.5 day
SRR6039708	Ustilago maydis	0.5 day
SRR6039709	Ustilago maydis	0.5 day
SRR6039710	Ustilago maydis	0.5 day
SRR6039711	Ustilago maydis	0.5 day
SRR6039712	Ustilago maydis	0.5 day
SRR6039713	Ustilago maydis	0.5 day
SRR6039714	Ustilago maydis	0.5 day
SRR6039715	Ustilago maydis	1 day
SRR6039716	Ustilago maydis	1 day
SRR6039717	Ustilago maydis	1 day
SRR6039718	Ustilago maydis	1 day
SRR6039719	Ustilago maydis	1 day
SRR6039720	Ustilago maydis	1 day
SRR6039721	Ustilago maydis	1 day
SRR6039722	Ustilago maydis	1 day
SRR6039723	Ustilago maydis	1 day
SRR6039724	Ustilago maydis	2 day
SRR6039725	Ustilago maydis	2 day
SRR6039726	Ustilago maydis	2 day
SRR6039727	Ustilago maydis	2 day
SRR6039728	Ustilago maydis	2 day
SRR6039729	Ustilago maydis	2 day
SRR6039730	Ustilago maydis	4 day
SRR6039731	Ustilago maydis	4 day
SRR6039732	Ustilago maydis	4 day
SRR6039733	Ustilago maydis	4 day
SRR6039734	Ustilago maydis	6 day
SRR6039735	Ustilago maydis	6 day
SRR6039736	Ustilago maydis	6 day
SRR6039737	Ustilago maydis	6 day
SRR6039738	Ustilago maydis	6 day
SRR6039739	Ustilago maydis	8 day
SRR6039740	Ustilago maydis	8 day
SRR6039741	Ustilago maydis	8 day
SRR6039742	Ustilago maydis	12 day
SRR6039743	Ustilago maydis	12 day
SRR6039744	Ustilago maydis	12 day
SRR6039745	none	0.5 day
SRR6039746	none	0.5 day
SRR6039747	none	0.5 day
SRR6039748	none	1 day
SRR6039749	none	1 day
SRR6039750	none	1 day
SRR6039751	none	2 day
SRR6039752	none	2 day
SRR6039753	none	2 day
SRR6039754	none	4 day
SRR6039755	none	4 day
SRR6039756	none	4 day
SRR6039757	none	6 day
SRR6039758	none	6 day
SRR6039759	none	6 day
SRR6039760	none	8 day
SRR6039761	none	8 day
SRR6039762	none	8 day
SRR6039763	none	12 day
SRR6039764	none	12 day
SRR6039765	none	12 day